event	ddyn_lfc	ddyn_hfc	ddyn_lfcpick	ddyn_hfcpick	ddyn_h1	dp2_lfc
1	9999	9999	9999	9999	9999	2.70E-04
2	9999	9999	9999	9999	9999	2.70E-04
3	9999	9999	9999	9999	9999	2.70E-04
4	9999	9999	9999	9999	9999	2.70E-04
5	9999	9999	9999	9999	9999	2.70E-04
6	5.88E-04	1.00E-03	6.90E-04	9.17E-04	1.25E-03	2.70E-04
7	9999	9999	9999	9999	9999	2.70E-04
8	9999	9999	9999	9999	9999	2.70E-04
9	9999	9999	9999	9999	9999	2.70E-04
10	9999	9999	9999	9999	9999	2.70E-04
11	9999	9999	9999	9999	9999	2.70E-04
12	9999	9999	9999	9999	9999	2.70E-04
13	9999	9999	9999	9999	9999	2.70E-04
14	9999	9999	9999	9999	9999	2.70E-04
15	9999	9999	9999	9999	9999	2.70E-04
16	9999	9999	9999	9999	9999	2.70E-04
17	9999	9999	9999	9999	9999	2.70E-04
18	9999	9999	9999	9999	9999	2.70E-04
19	9999	9999	9999	9999	9999	2.70E-04
20	9999	9999	9999	9999	9999	2.70E-04
21	9999	9999	9999	9999	9999	2.70E-04
22	9999	9999	9999	9999	9999	2.70E-04
23	9999	9999	9999	9999	9999	2.70E-04
24	9999	9999	9999	9999	9999	2.70E-04
25	9999	9999	9999	9999	9999	2.70E-04
26	9999	9999	9999	9999	9999	2.70E-04
27	9999	9999	9999	9999	9999	2.70E-04
28	9999	9999	9999	9999	9999	2.70E-04
29	9999	9999	9999	9999	9999	2.70E-04
30	9999	9999	9999	9999	9999	2.70E-04
31	9999	9999	9999	9999	9999	2.70E-04
